batter,total_runs,balls_faced,fours,sixes,strike_rate
"V Suryavanshi",1028,449,81,96,228.95
"FH Allen",349,163,33,28,214.11
"J Fraser-McGurk",385,193,39,30,199.48
"Priyansh Arya",909,471,87,63,192.99
"A Mhatre",441,240,51,23,183.75
"TH David",1151,650,76,83,177.08
"R Shepherd",268,153,18,22,175.16
"PD Salt",1258,721,138,67,174.48
"AD Russell",2655,1525,187,223,174.1
"JP Inglis",544,314,58,28,173.25
"Abhishek Sharma",2379,1389,224,144,171.27
"D Ferreira",326,191,26,23,170.68
"TM Head",1556,915,172,78,170.05
"Ashutosh Sharma",564,334,39,40,168.86
"BCJ Cutting",238,141,15,19,168.79
"RD Rickelton",836,497,78,55,168.21
"K Gowtham",247,148,15,17,166.89
"H Klaasen",2104,1262,146,120,166.72
"SP Narine",1820,1101,191,120,165.3
"RM Patidar",1612,980,106,110,164.49
