match_id,date,venue,total_runs,total_extras,total_wickets,teams,year,season
1082591,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",379,13,14,Sunrisers Hyderabad vs Royal Challengers Bangalore,2017,2017
1082592,2017-04-06,Maharashtra Cricket Association Stadium,371,12,11,Mumbai Indians vs Rising Pune Supergiant,2017,2017
1082593,2017-04-07,Saurashtra Cricket Association Stadium,367,19,4,Gujarat Lions vs Kolkata Knight Riders,2017,2017
1082594,2017-04-08,Holkar Cricket Stadium,327,16,10,Rising Pune Supergiant vs Kings XI Punjab,2017,2017
1082595,2017-04-08,M.Chinnaswamy Stadium,299,11,17,Royal Challengers Bangalore vs Delhi Daredevils,2017,2017
1082596,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",275,6,8,Gujarat Lions vs Sunrisers Hyderabad,2017,2017
1082597,2017-04-09,Wankhede Stadium,358,21,13,Kolkata Knight Riders vs Mumbai Indians,2017,2017
1082598,2017-04-10,Holkar Cricket Stadium,298,10,6,Royal Challengers Bangalore vs Kings XI Punjab,2017,2017
1082599,2017-04-11,Maharashtra Cricket Association Stadium,313,13,14,Delhi Daredevils vs Rising Pune Supergiant,2017,2017
1082600,2017-04-12,Wankhede Stadium,317,15,14,Sunrisers Hyderabad vs Mumbai Indians,2017,2017
1082601,2017-04-13,Eden Gardens,341,27,11,Kings XI Punjab vs Kolkata Knight Riders,2017,2017
1082602,2017-04-14,M Chinnaswamy Stadium,287,24,11,Royal Challengers Bangalore vs Mumbai Indians,2017,2017
1082603,2017-04-14,Saurashtra Cricket Association Stadium,343,10,11,Rising Pune Supergiant vs Gujarat Lions,2017,2017
1082604,2017-04-15,Eden Gardens,327,18,12,Kolkata Knight Riders vs Sunrisers Hyderabad,2017,2017
1082605,2017-04-15,Feroz Shah Kotla,325,12,15,Delhi Daredevils vs Kings XI Punjab,2017,2017
1082606,2017-04-16,Wankhede Stadium,353,24,8,Gujarat Lions vs Mumbai Indians,2017,2017
1082607,2017-04-16,M Chinnaswamy Stadium,295,21,17,Rising Pune Supergiant vs Royal Challengers Bangalore,2017,2017
1082608,2017-04-17,Feroz Shah Kotla,337,14,13,Delhi Daredevils vs Kolkata Knight Riders,2017,2017
1082609,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",313,21,16,Sunrisers Hyderabad vs Kings XI Punjab,2017,2017
1082610,2017-04-18,Saurashtra Cricket Association Stadium,405,12,9,Royal Challengers Bangalore vs Gujarat Lions,2017,2017
1082611,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",367,11,9,Sunrisers Hyderabad vs Delhi Daredevils,2017,2017
1082612,2017-04-20,Holkar Cricket Stadium,397,20,6,Kings XI Punjab vs Mumbai Indians,2017,2017
1082613,2017-04-21,Eden Gardens,375,8,11,Kolkata Knight Riders vs Gujarat Lions,2017,2017
1082614,2017-04-22,Wankhede Stadium,270,24,15,Mumbai Indians vs Delhi Daredevils,2017,2017
1082615,2017-04-22,Maharashtra Cricket Association Stadium,355,11,7,Sunrisers Hyderabad vs Rising Pune Supergiant,2017,2017
1082616,2017-04-23,Saurashtra Cricket Association Stadium,350,12,14,Kings XI Punjab vs Gujarat Lions,2017,2017
1082617,2017-04-23,Eden Gardens,180,15,20,Kolkata Knight Riders vs Royal Challengers Bangalore,2017,2017
1082618,2017-04-24,Wankhede Stadium,317,10,14,Rising Pune Supergiant vs Mumbai Indians,2017,2017
1082620,2017-04-26,Maharashtra Cricket Association Stadium,366,20,8,Rising Pune Supergiant vs Kolkata Knight Riders,2017,2017
1082621,2017-04-27,M Chinnaswamy Stadium,269,20,13,Royal Challengers Bangalore vs Gujarat Lions,2017,2017
1082622,2017-04-28,Eden Gardens,321,17,9,Delhi Daredevils vs Kolkata Knight Riders,2017,2017
1082623,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",388,8,12,Sunrisers Hyderabad vs Kings XI Punjab,2017,2017
1082624,2017-04-29,Maharashtra Cricket Association Stadium,253,8,12,Rising Pune Supergiant vs Royal Challengers Bangalore,2017,2017
1082625,2017-04-29,Saurashtra Cricket Association Stadium,323,16,21,Gujarat Lions vs Mumbai Indians,2017,2017
1082626,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",135,7,10,Delhi Daredevils vs Kings XI Punjab,2017,2017
1082627,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",370,13,10,Sunrisers Hyderabad vs Kolkata Knight Riders,2017,2017
1082628,2017-05-01,Wankhede Stadium,327,11,14,Royal Challengers Bangalore vs Mumbai Indians,2017,2017
1082629,2017-05-01,Maharashtra Cricket Association Stadium,328,14,15,Gujarat Lions vs Rising Pune Supergiant,2017,2017
1082630,2017-05-02,Feroz Shah Kotla,374,11,7,Sunrisers Hyderabad vs Delhi Daredevils,2017,2017
1082631,2017-05-03,Eden Gardens,313,13,14,Kolkata Knight Riders vs Rising Pune Supergiant,2017,2017
1082632,2017-05-04,Feroz Shah Kotla,422,17,10,Gujarat Lions vs Delhi Daredevils,2017,2017
1082633,2017-05-05,M Chinnaswamy Stadium,257,19,17,Kings XI Punjab vs Royal Challengers Bangalore,2017,2017
1082634,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",284,9,17,Rising Pune Supergiant vs Sunrisers Hyderabad,2017,2017
1082635,2017-05-06,Feroz Shah Kotla,278,22,13,Mumbai Indians vs Delhi Daredevils,2017,2017
1082636,2017-05-07,M Chinnaswamy Stadium,317,9,10,Royal Challengers Bangalore vs Kolkata Knight Riders,2017,2017
1082637,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",381,9,7,Kings XI Punjab vs Gujarat Lions,2017,2017
1082638,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",278,14,10,Mumbai Indians vs Sunrisers Hyderabad,2017,2017
