batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
A Ashish Reddy,23,280,193,16,15,23,15,0,0,36,145.08,18.67
A Badoni,56,1178,836,96,47,56,46,7,0,74,140.91,25.61
A Chandila,2,4,7,0,0,2,0,0,0,4,57.14,
A Chopra,6,53,71,7,0,6,6,0,0,24,74.65,8.83
A Choudhary,3,25,20,1,1,3,1,0,0,15,125.0,25.0
A Dananjaya,1,4,5,0,0,1,0,0,0,4,80.0,
A Flintoff,3,62,53,5,2,3,2,0,0,24,116.98,31.0
A Kamboj,10,74,52,5,4,10,3,0,0,19,142.31,24.67
A Kumble,15,35,47,3,0,15,3,0,0,8,74.47,11.67
A Manohar,20,292,235,23,14,20,19,0,0,43,124.26,15.37
A Mhatre,13,441,240,51,23,13,13,3,0,94,183.75,33.92
A Mishra,55,381,419,31,5,55,30,0,0,31,90.93,12.7
A Mithun,6,34,26,4,1,6,5,0,0,11,130.77,6.8
A Mukund,2,19,22,1,0,2,2,0,0,19,86.36,9.5
A Nehra,17,41,62,3,1,17,7,0,0,22,66.13,5.86
A Nortje,14,49,50,6,0,14,7,0,0,23,98.0,7.0
A Raghuvanshi,30,885,608,86,35,30,26,7,0,82,145.56,34.04
A Singh,5,2,10,0,0,5,4,0,0,1,20.0,0.5
A Symonds,36,974,750,74,41,36,27,5,1,117,129.87,36.07
A Tomar,1,4,8,1,0,1,1,0,0,4,50.0,4.0
A Uniyal,2,4,7,0,0,2,1,0,0,4,57.14,4.0
A Zampa,5,15,24,1,0,5,5,0,0,7,62.5,3.0
AA Bilakhia,7,69,85,5,0,7,5,0,0,22,81.18,13.8
AA Chavan,3,12,11,2,0,3,2,0,0,7,109.09,6.0
AA Jhunjhunwala,15,217,210,19,5,15,13,1,0,53,103.33,16.69
AA Kulkarni,4,26,33,3,0,4,4,0,0,17,78.79,6.5
AA Noffke,1,9,10,1,0,1,1,0,0,9,90.0,9.0
AB Agarkar,18,179,154,13,5,18,9,0,0,39,116.23,19.89
AB Barath,3,42,42,5,1,3,2,0,0,33,100.0,21.0
AB Dinda,16,26,48,2,0,16,10,0,0,7,54.17,2.6
AB McDonald,9,123,100,9,4,9,5,0,0,33,123.0,24.6
AB de Villiers,170,5181,3411,414,253,172,130,40,3,133,151.89,39.85
AC Blizzard,7,120,90,21,2,7,7,1,0,51,133.33,17.14
AC Gilchrist,80,2069,1495,239,92,80,76,11,2,109,138.39,27.22
AC Thomas,4,20,19,1,1,4,2,0,0,12,105.26,10.0
AC Voges,7,181,143,15,3,7,4,0,0,45,126.57,45.25
AD Hales,6,148,118,13,6,6,6,0,0,45,125.42,24.67
AD Mascarenhas,11,79,78,5,1,11,9,0,0,27,101.28,8.78
AD Mathews,41,724,575,44,29,41,30,1,0,65,125.91,24.13
AD Nath,10,90,98,7,2,10,10,0,0,24,91.84,9.0
AD Russell,114,2655,1525,187,223,115,95,12,0,88,174.1,27.95
AF Milne,7,25,31,0,1,7,4,0,0,15,80.65,6.25
