bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
YS Chahal,184,4037,5417,233,672.5,8.05
B Kumar,206,4600,5913,226,766.4,7.71
SP Narine,200,4660,5273,209,776.4,6.79
PP Chawla,191,3850,5108,192,641.4,7.96
JJ Bumrah,158,3653,4469,190,608.5,7.34
R Ashwin,217,4710,5652,187,785.0,7.2
DJ Bravo,158,3120,4360,183,520.0,8.38
RA Jadeja,237,4254,5465,180,709.0,7.71
Rashid Khan,153,3543,4297,179,590.3,7.28
A Mishra,162,3371,4145,174,561.5,7.38
SL Malinga,122,2827,3366,170,471.1,7.14
Sandeep Sharma,142,3163,4307,151,527.1,8.17
K Rabada,101,2299,3367,151,383.1,8.79
HV Patel,121,2506,3727,151,417.4,8.92
Harbhajan Singh,160,3416,4030,150,569.2,7.08
TA Boult,124,2784,3950,145,464.0,8.51
Mohammed Shami,132,2920,4216,145,486.4,8.66
UT Yadav,147,3056,4332,144,509.2,8.51
AR Patel,173,3585,4437,139,597.3,7.43
MM Sharma,119,2403,3513,134,400.3,8.77
Mohammed Siraj,125,2672,3911,128,445.2,8.78
AD Russell,121,1806,2863,123,301.0,9.51
SN Thakur,109,2202,3514,119,367.0,9.57
JD Unadkat,115,2351,3504,114,391.5,8.94
Kuldeep Yadav,107,2286,3159,112,381.0,8.29
CV Varun,94,2134,2745,111,355.4,7.72
Arshdeep Singh,95,2032,3111,111,338.4,9.19
KH Pandya,147,2701,3410,107,450.1,7.57
A Nehra,88,1908,2495,106,318.0,7.85
R Vinay Kumar,104,2127,2986,105,354.3,8.42
Z Khan,99,2200,2782,102,366.4,7.59
DW Steyn,95,2182,2523,97,363.4,6.94
CH Morris,81,1726,2309,96,287.4,8.03
DL Chahar,103,2068,2862,96,344.4,8.3
I Sharma,117,2419,3377,96,403.1,8.38
Avesh Khan,82,1767,2734,93,294.3,9.28
SR Watson,105,2029,2682,92,338.1,7.93
KK Ahmed,76,1657,2474,91,276.1,8.96
M Prasidh Krishna,78,1739,2608,91,289.5,9.0
P Kumar,119,2524,3251,90,420.4,7.73
RP Singh,82,1775,2338,90,295.5,7.9
PP Ojha,90,1899,2332,89,316.3,7.37
PJ Cummins,80,1809,2680,87,301.3,8.89
DS Kulkarni,92,1787,2474,86,297.5,8.31
JA Morkel,87,1723,2359,85,287.1,8.21
