year,total_runs,batter_runs,extras,wickets,deliveries,matches,players,teams,run_rate
2008,17937,16809,1128,690,13489,58,154,8,7.98
2009,16353,15376,977,698,13606,57,150,8,7.21
2010,18883,17754,1129,725,14498,60,164,8,7.81
2011,21154,19928,1226,813,17013,73,180,10,7.46
2012,22453,21323,1130,858,17767,74,170,9,7.58
2013,22602,21487,1115,912,18177,76,172,9,7.46
2014,18931,17943,988,674,14300,60,133,8,7.94
2015,18353,17427,926,691,13652,59,129,8,8.07
2016,18862,17962,900,666,14096,60,136,8,8.03
2017,18786,17920,866,711,13862,59,143,8,8.13
2018,19901,19098,803,722,14286,60,138,8,8.36
2019,19434,18607,827,685,14312,60,144,8,8.15
2020,19416,18566,850,677,14559,60,133,8,8.0
2021,18637,17727,910,717,14425,60,149,8,7.75
2022,24395,23052,1343,912,17912,74,174,10,8.17
2023,25688,24428,1260,916,17863,74,177,10,8.63
2024,25971,24657,1314,883,17103,71,171,10,9.11
2025,26527,25309,1218,873,17285,74,166,10,9.21
2026,27455,26156,1299,882,17527,74,176,10,9.4
