match_id,date,venue,innings_no,batting_team,opponent_team,runs,batter_runs,extras,wickets,deliveries,year,run_rate
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,240,234,6,5,124,2008,11.61
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,222,205,17,3,124,2008,10.74
336019,2008-05-28,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,221,216,5,3,124,2008,10.69
335990,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,217,210,7,7,122,2008,10.67
335990,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,214,208,6,5,126,2008,10.19
336033,2008-05-24,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,211,204,7,5,122,2008,10.38
335989,2008-04-23,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,208,190,18,5,127,2008,9.83
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,207,196,11,4,124,2008,10.02
336014,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,204,199,5,4,124,2008,9.87
335989,2008-04-23,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,202,189,13,7,128,2008,9.47
336033,2008-05-24,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,201,192,9,7,126,2008,9.57
336023,2008-05-17,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,197,171,26,1,127,2008,9.31
336000,2008-05-01,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,196,182,14,7,127,2008,9.26
336020,2008-05-15,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,194,186,8,4,125,2008,9.31
336038,2008-05-30,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,192,188,4,9,123,2008,9.37
335998,2008-04-30,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,191,187,4,5,122,2008,9.39
336028,2008-05-21,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,189,177,12,4,124,2008,9.15
336009,2008-05-08,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,188,177,11,6,125,2008,9.02
336028,2008-05-21,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,188,165,23,10,125,2008,9.02
336009,2008-05-08,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,187,175,12,5,126,2008,8.9
335991,2008-04-25,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,182,175,7,10,124,2008,8.81
336020,2008-05-15,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,182,179,3,9,122,2008,8.95
335998,2008-04-30,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,181,169,12,5,121,2008,8.98
336013,2008-05-10,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,181,166,15,4,131,2008,8.29
336014,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,181,165,16,7,128,2008,8.48
336019,2008-05-28,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,180,176,4,7,121,2008,8.93
336032,2008-05-24,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,179,176,3,5,120,2008,8.95
335996,2008-04-28,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,178,174,4,5,123,2008,8.68
336003,2008-05-03,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,178,164,14,6,125,2008,8.54
336024,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,178,158,20,7,128,2008,8.34
336031,2008-05-23,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,178,170,8,4,122,2008,8.75
336032,2008-05-24,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,176,167,9,8,127,2008,8.31
336031,2008-05-23,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,175,170,5,4,121,2008,8.68
336035,2008-05-25,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,175,166,9,7,122,2008,8.61
336035,2008-05-25,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,174,163,11,6,126,2008,8.29
