batting_team,innings,total_runs,average_runs,total_wickets,total_deliveries,matches,opponents,venues,run_rate
Mumbai Indians,296,47641,160.95,1749,34990,291,18,53,8.17
Kolkata Knight Riders,283,43646,154.23,1650,32463,278,18,53,8.07
Chennai Super Kings,266,43600,163.91,1424,32101,265,15,52,8.15
Rajasthan Royals,254,40437,159.2,1505,29777,250,15,48,8.15
Royal Challengers Bangalore,243,37692,155.11,1384,28205,240,17,48,8.02
Sunrisers Hyderabad,214,34640,161.87,1242,25284,210,16,41,8.22
Kings XI Punjab,195,30064,154.17,1158,22646,190,14,34,7.97
Delhi Daredevils,162,24296,149.98,952,18786,161,13,35,7.76
Delhi Capitals,123,19959,162.27,745,14321,119,11,29,8.36
Punjab Kings,87,15509,178.26,548,10454,87,10,20,8.9
Gujarat Titans,77,13743,178.48,416,9379,77,10,16,8.79
Lucknow Super Giants,73,12754,174.71,453,8854,72,10,16,8.64
Deccan Chargers,75,11463,152.84,484,9034,75,9,24,7.61
Royal Challengers Bengaluru,46,8640,187.83,265,5367,46,9,13,9.66
Pune Warriors,45,6358,141.29,298,5443,45,10,14,7.01
Gujarat Lions,31,4862,156.84,188,3566,30,8,9,8.18
Rising Pune Supergiant,16,2470,154.38,90,1900,16,7,8,7.8
Rising Pune Supergiants,14,2063,147.36,68,1580,14,7,9,7.83
Kochi Tuskers Kerala,14,1901,135.79,86,1582,14,9,9,7.21
