batter,total_runs,balls_faced,fours,sixes,strike_rate
"V Kohli",9346,6930,847,317,134.86
"RG Sharma",7331,5517,661,324,132.88
"S Dhawan",6769,5326,768,153,127.09
"DA Warner",6567,4702,663,236,139.66
"KL Rahul",5828,4188,509,239,139.16
"SK Raina",5536,4046,506,204,136.83
"MS Dhoni",5439,3957,375,264,137.45
"AM Rahane",5367,4273,540,141,125.6
"AB de Villiers",5181,3411,414,253,151.89
"SV Samson",5181,3671,432,243,141.13
"CH Gayle",4997,3346,408,359,149.34
"RV Uthappa",4954,3801,481,182,130.33
"KD Karthik",4843,3580,466,161,135.28
"F du Plessis",4773,3515,440,174,135.79
"JC Buttler",4647,3105,459,211,149.66
"Shubman Gill",4598,3236,446,152,142.09
"SA Yadav",4581,3084,482,178,148.54
"AT Rayudu",4348,3409,359,173,127.54
"SS Iyer",4233,3095,354,182,136.77
"G Gambhir",4217,3404,492,59,123.88
