venue,innings,matches,total_runs,average_innings_score,total_wickets,total_deliveries,teams,run_rate
Eden Gardens,154,77,23658,153.62,878,17988,15,7.89
Wankhede Stadium,148,73,23407,158.16,894,17591,15,7.98
"Wankhede Stadium, Mumbai",118,59,20853,176.72,696,14280,11,8.76
M Chinnaswamy Stadium,131,65,20263,154.68,743,14907,14,8.16
Feroz Shah Kotla,119,60,18421,154.8,697,13950,14,7.92
"MA Chidambaram Stadium, Chepauk",98,48,15277,155.89,566,11760,11,7.79
"Rajiv Gandhi International Stadium, Uppal",100,49,14888,148.88,565,11604,13,7.7
Dubai International Cricket Stadium,100,46,14450,144.5,545,11229,10,7.72
"Narendra Modi Stadium, Ahmedabad",82,41,14428,175.95,517,9778,11,8.85
Sawai Mansingh Stadium,94,47,14264,151.74,518,11150,12,7.68
"MA Chidambaram Stadium, Chepauk, Chennai",84,41,13348,158.9,517,9961,11,8.04
"Arun Jaitley Stadium, Delhi",62,30,11254,181.52,349,7260,11,9.3
"Punjab Cricket Association Stadium, Mohali",70,35,10987,156.96,411,8266,10,7.98
"Eden Gardens, Kolkata",59,30,10783,182.76,352,6948,11,9.31
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",59,29,9735,165.0,347,6904,11,8.46
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",51,26,9605,188.33,297,6203,11,9.29
"M Chinnaswamy Stadium, Bengaluru",48,24,8930,186.04,300,5727,11,9.36
Sheikh Zayed Stadium,62,29,8857,142.85,329,6925,9,7.67
Sharjah Cricket Stadium,56,28,8583,153.27,322,6672,10,7.72
"Sawai Mansingh Stadium, Jaipur",42,21,7829,186.4,214,5024,10,9.35
Maharashtra Cricket Association Stadium,44,22,7007,159.25,259,5294,12,7.94
"Dr DY Patil Sports Academy, Mumbai",40,20,6573,164.32,254,4905,10,8.04
"Brabourne Stadium, Mumbai",34,17,5824,171.29,211,4057,10,8.61
M.Chinnaswamy Stadium,30,15,5127,170.9,179,3494,9,8.8
Dr DY Patil Sports Academy,34,17,4810,141.47,216,3993,10,7.23
Rajiv Gandhi International Stadium,30,15,4631,154.37,190,3609,9,7.7
Arun Jaitley Stadium,30,14,4543,151.43,171,3356,9,8.12
Subrata Roy Sahara Stadium,32,16,4528,141.5,183,3825,9,7.1
Kingsmead,30,15,4353,145.1,201,3643,8,7.17
"Maharashtra Cricket Association Stadium, Pune",26,13,4108,158.0,175,3120,10,7.9
"Sardar Patel Stadium, Motera",26,12,3767,144.88,145,2893,9,7.81
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,26,13,3746,144.08,163,3037,10,7.4
"Himachal Pradesh Cricket Association Stadium, Dharamsala",19,10,3740,196.84,120,2302,8,9.75
SuperSport Park,24,12,3653,152.21,133,2866,8,7.65
"Punjab Cricket Association IS Bindra Stadium, Mohali",22,11,3545,161.14,115,2574,8,8.26
Brabourne Stadium,20,10,3481,174.05,120,2469,9,8.46
Punjab Cricket Association IS Bindra Stadium,20,10,3476,173.8,104,2429,9,8.59
Saurashtra Cricket Association Stadium,22,10,3333,151.5,109,2381,9,8.4
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",20,10,3184,159.2,144,2313,9,8.26
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",14,7,2981,212.93,81,1736,6,10.3
Himachal Pradesh Cricket Association Stadium,18,9,2897,160.94,104,2159,6,8.05
Holkar Cricket Stadium,18,9,2872,159.56,92,1965,7,8.77
"Barsapara Cricket Stadium, Guwahati",16,8,2612,163.25,101,1799,7,8.71
MA Chidambaram Stadium,18,9,2563,142.39,100,2130,8,7.22
"Zayed Cricket Stadium, Abu Dhabi",16,8,2475,154.69,93,1874,8,7.92
New Wanderers Stadium,16,8,2292,143.25,92,1940,7,7.09
Barabati Stadium,14,7,2278,162.71,80,1695,7,8.06
JSCA International Stadium Complex,14,7,2056,146.86,81,1671,6,7.38
St George's Park,14,7,2033,145.21,77,1677,8,7.27
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",10,5,1856,185.6,60,1207,6,9.23
Newlands,16,7,1797,112.31,93,1539,8,7.01
Shaheed Veer Narayan Singh International Stadium,12,6,1741,145.08,60,1431,6,7.3
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8,4,1549,193.62,58,963,5,9.65
Nehru Stadium,10,5,1363,136.3,62,1155,6,7.08
Green Park,8,4,1298,162.25,49,921,5,8.46
De Beers Diamond Oval,6,3,897,149.5,39,726,4,7.41
"Vidarbha Cricket Association Stadium, Jamtha",6,3,882,147.0,48,742,4,7.13
Buffalo Park,6,3,799,133.17,38,715,5,6.7
"Shaheed Veer Narayan Singh International Stadium, Raipur",4,2,719,179.75,23,500,3,8.63
OUTsurance Oval,4,2,529,132.25,25,500,3,6.35
